Wallet,Telegram ID,SUM of USDT Allocation before Fees,SUM of USDT Allocation After fees,SUM of Deal Level Profit before fees,SUM of Deal Level profit after fees,Refund Already Done,Balance to be Paid,Next Tranche to be paid,,Don't Touch Column G
0x76516b63060d552af4a85024b08ea29e5244f436,MARJOK0,"7,900","7,110","-3,511.60","-2,721.60",,"-2,721.60",-272.16,,
0xde5e1c80f76aff1a05e223b53528103eba6ea4e5,xyzrayhan,"5,200","4,680","-3,239.80","-2,719.80",,"-2,719.80",-271.98,,
0x2e233a9f005dc0820358bf1c3652d031333d28bc,apesyu,"4,800","4,320","-3,193.50","-2,713.50",,"-2,713.50",-271.35,,
0x6e730909e96b00f8d3a2f0826844076dbeff730c,Jiber1sh,"4,700","4,230","-3,179.00","-2,709.00",,"-2,709.00",-270.90,,
0xec66606954e8e896628d5cec4aa25a5db96e3536,Romeo00013,"3,500","3,150","-3,041.00","-2,691.00",,"-2,691.00",-269.10,,
0x5c6178f926d7311d3340cd0a749ed3286322202f,rajib_kol007,"7,500","6,750","-3,384.30","-2,634.30",,"-2,634.30",-263.43,,
0x56798b7e41e0c169bc4297e71625d559b06c17c6,rdmhlsc,"11,600","10,440","-3,768.20","-2,608.20",,"-2,608.20",-260.82,,
Sohail,Sohail,"18,000","18,000","-2,480.00","-2,480.00","2,480",0.00,0.00,,
0xa1baed57e1982a100800a0a9e8862f732dc6db2d,Anakin6666,"8,700","7,830","-3,327.00","-2,457.00",,"-2,457.00",-245.70,,
0x1510df863e38c2d7c37918f9d9412ea58d56576b,doldol2e2,"5,000","4,500","-2,948.00","-2,448.00",,"-2,448.00",-244.80,,
0xb63fe3de4536d0cbeb5b3a6114799d6bcd35fa92,michaelyu300,"4,100","3,690","-2,845.40","-2,435.40",,"-2,435.40",-243.54,,
0x28fb0d5ca5ef912638889f8f6ede26225b2c78ef,DriesPriesStopcontact,"3,900","3,510","-2,803.80","-2,413.80",,"-2,413.80",-241.38,,
0x3ed07209844070255fee2dd01ef0c22284824802,twilly55,"3,700","3,330","-2,767.60","-2,397.60",,"-2,397.60",-239.76,,
0xd18179ee18f1de92372cf806c5be664845c17396,my_incognito,"11,900","10,710","-3,577.70","-2,387.70",,"-2,387.70",-238.77,,
0x7c31bb15003a90c91327031297c649f35aeb63ce,ONOUAGH,"13,700","12,330","-3,738.80","-2,368.80",,"-2,368.80",-236.88,,
0xb891c9c6cceef1946f829b9e2fdd8e4c84212ab0,Bruaxo,"8,950","8,055","-3,239.77","-2,344.77",,"-2,344.77",-234.48,,
Irfan,Irfan,"11,132","10,019","-3,442.16","-2,328.98","2,329",0.00,0.00,,
0x22aab43f287554875b70a441256a9bae5e601bcf,masajeed,"6,800","6,120","-2,966.90","-2,286.90",,"-2,286.90",-228.69,,
0x16cc024fcfcffd8f9fe7dd82754d27464950de3a,RadicalStaking,"13,000","11,700","-3,584.92","-2,284.92",,"-2,284.92",-228.49,,
0x5ee7a6b9ea05677b3a960dd135c37694b308bbca,vanhoc272229,"6,200","5,580","-2,870.00","-2,250.00",,"-2,250.00",-225.00,,
0x73bd851a57ec9e656d5e59b3ffaa03ad90b970bb,SylvanNL,"3,800","3,420","-2,502.20","-2,122.20",,"-2,122.20",-212.22,,
0x5686832562ac66d74f127fc2b0dd83f9785238a6,Kieranlee,"17,900","16,110","-3,897.80","-2,107.80",,"-2,107.80",-210.78,,
0x7abe7e64d9fb8f970662c1c8ed997a5d8f41382c,kurtus50,"7,200","6,480","-2,817.00","-2,097.00",,"-2,097.00",-209.70,,
0x22f400c20cac2430cf838c4f93167f8f395225f1,R_e_d_n_a_s,"4,000","3,600","-2,488.00","-2,088.00",,"-2,088.00",-208.80,,
0x038858cd28dd5b64ca76e66720ef81abefab9598,jincoz,"7,900","7,110","-2,804.20","-2,014.20",,"-2,014.20",-201.42,,
0x3288aac3d1cc68f092d77955050e128d9b4b864d,MrMemeKnight,"4,100","3,690","-2,422.40","-2,012.40",,"-2,012.40",-201.24,,
0x25612e8bd7683de22da45d717d0493b0e96424b4,honmashinsei,"10,500","9,450","-3,048.36","-1,998.36",,"-1,998.36",-199.84,,
0xd4ccd38da3f3eee4e5466e6ba09f59e4970153a1,viren689,"7,000","6,300","-2,680.00","-1,980.00",,"-1,980.00",-198.00,,
0xab35f3f92323b300656d078f9a676a35d5775d38,madvstl,"3,000","2,700","-2,244.00","-1,944.00",,"-1,944.00",-194.40,,
0xfbd15cab0c34c1ef1b611c5afe1f5393437f810c,NguyenKimTuan,"3,000","2,700","-2,244.00","-1,944.00",,"-1,944.00",-194.40,,
0x8d6dd83b5d15df4d43881e63bbe72c586bc124f1,naveen2014,"87,900","79,110","-10,707.00","-1,917.00",,"-1,917.00",-191.70,,
0x79066851b62be16634752061f63c40f49b14df06,ninjamurasaki,"15,000","13,500","-3,390.00","-1,890.00",,"-1,890.00",-189.00,,
0x18353112effab06ad3da3fb8237f5ec199b13518,rst035,"6,400","5,760","-2,520.10","-1,880.10",,"-1,880.10",-188.01,,
0x2dde67ae84e230c4db81b11d02f6fa2c14aac0f9,mikevn,"26,600","23,940","-4,533.80","-1,873.80",,"-1,873.80",-187.38,,
0xe088d1aaa21de55f40012adecafffd07626732db,TheRider01,"10,500","9,450","-2,902.20","-1,852.20",,"-1,852.20",-185.22,,
0x319a641449fe284aa9cf347fb2d104741dbcd30c,sachincw360,"2,000","1,800","-2,000.00","-1,800.00",,"-1,800.00",-180.00,,
0xd2bada7e25a27a27dfe834b02028b9dc99cece2c,CVX_team,"6,000","5,670","-2,122.04","-1,792.04",,"-1,792.04",-179.20,,
0x5c2920e641b845e8ce3cce314f1eefb27c7fe872,Jv99vn,"11,000","9,900","-2,882.00","-1,782.00",,"-1,782.00",-178.20,,
0x7f0b21e3194ebbc0020de093066fc7621c4854c9,HristomirGenov,"3,000","2,700","-2,082.00","-1,782.00",,"-1,782.00",-178.20,,
0xffafb327f274c38202adc0758a22f90ddba206e5,Adnan_shakib,"2,400","2,160","-2,022.00","-1,782.00",,"-1,782.00",-178.20,,
0xffdcf04b5f6657d501ca35baaa49265a9b60c8bd,garlicdevs,"5,600","5,040","-2,257.40","-1,697.40",,"-1,697.40",-169.74,,
0x63b6710591b5b3c78c9539b39313c13d4992ddad,ThinhLe1219,"2,500","2,250","-1,907.80","-1,657.80",,"-1,657.80",-165.78,,
0x26bd1a2d21d1d0f796067e751bd9145bd3bd40d3,bradmanguy,"5,800","5,220","-2,224.30","-1,644.30",,"-1,644.30",-164.43,,
0xba99a0deea0e0a893463f136887e5c9cbb8ca73e,josjimal,"2,100","1,890","-1,839.90","-1,629.90",,"-1,629.90",-162.99,,
0x5DaB3705f235f9D8423180C6Fd6C55a6F56FeEe5,Lowcaphodler,"10,500","9,975","-2,121.00","-1,596.00",,"-1,596.00",-159.60,,
0x85548541a003211f11ab45175e0d6b819d842844,cryptosk17,"3,000","2,700","-1,866.00","-1,566.00",,"-1,566.00",-156.60,,
0x906464a7a4564c1f9472084230c7e289ce79b9a6,stepnalien,"2,500","2,250","-1,735.00","-1,485.00",,"-1,485.00",-148.50,,
0x1afa516fa7c4590ce3c0e6f43c43c45f418d7808,topboyea,"3,100","2,790","-1,760.80","-1,450.80",,"-1,450.80",-145.08,,
0xde7d742f5a8b310f44b5717a0f7703c47b5ebf3b,wt3699,"2,500","2,250","-1,659.40","-1,409.40",,"-1,409.40",-140.94,,
0xc5e1436aa97dfbda1524e1d1c87801c3494c8409,aguilasalvaje,"7,000","6,300","-2,041.90","-1,341.90",,"-1,341.90",-134.19,,
0x48863523e2d42c0e62c0ea26f6b8b4491690b3df,kulwindersingh87,"3,700","3,330","-1,701.10","-1,331.10",,"-1,331.10",-133.11,,
0xcf66f0e7a29ee9e8ad8d83736a64b07b0d9b06f8,Cioran_Gabriel_Iancu,"2,400","2,160","-1,568.40","-1,328.40",,"-1,328.40",-132.84,,
0xca5c0ff91c8b50fea024f5a92ec4e0a290976304,GrishaGrigorov14,"15,500","13,950","-2,877.50","-1,327.50",,"-1,327.50",-132.75,,
0xa61db946c777b47030e39b9e8f9347d0d9cd6b12,Cryptoking212119,"4,600","4,140","-1,758.70","-1,298.70",,"-1,298.70",-129.87,,
0xc250ab608ccf10f1036f7bb83135716f1a3e3fb1,Fatballs696,"2,000","1,800","-1,496.00","-1,296.00",,"-1,296.00",-129.60,,
0x37c7221220caff3bcbec960401403400e0e813d0,AirdropStudio12,"27,800","25,020","-4,042.70","-1,262.70",,"-1,262.70",-126.27,,
0x17aa24bdba0b9f81a9c19d08a593e5b4120b060f,dealttt,"180,000","162,000","-19,260.00","-1,260.00",,"-1,260.00",-126.00,,
0x533c4d93ef0d072dcd733c8b76edf287e791cf1b,Mr_Holder,"1,400","1,260","-1,400.00","-1,260.00",,"-1,260.00",-126.00,,
0x19a43f1759911ca887d1fe7a0923394fbe47f100,ChafeNixon,"3,200","2,880","-1,545.80","-1,225.80",,"-1,225.80",-122.58,,
0xbd1a1768308140d0d7e5ead7177cde21bd756377,cryptomania29,"11,100","9,990","-2,333.10","-1,223.10",,"-1,223.10",-122.31,,
0x542a564a62c47ac3831e922c14a5d0e1ca147d99,Mattcwu,"52,200","46,980","-6,427.80","-1,207.80",,"-1,207.80",-120.78,,
0xe86dc59222e61735f1553ecc36117bc97014c834,Boss_CryptoPros,"1,800","1,620","-1,384.20","-1,204.20",,"-1,204.20",-120.42,,
0x8ba5e36a7da642ce12e788d99551f4f02293a543,twovan182,"2,000","1,800","-1,388.00","-1,188.00",,"-1,188.00",-118.80,,
0xdfc287f01ae39a4a3a255ac20d0e55f7432a0909,supersabbir,"2,000","1,800","-1,388.00","-1,188.00",,"-1,188.00",-118.80,,
0x8f3a5edf65ca82321cb5fbc05fd8d06b5ae55d3b,7542973310,"1,800","1,620","-1,310.40","-1,130.40",,"-1,130.40",-113.04,,
0x4c5d8840cbf9584861d0831861fecf77955fe024,Donbruinsma,"1,600","1,440","-1,251.70","-1,091.70",,"-1,091.70",-109.17,,
0xce100d94ea22aab119633d434bdeea26f4244d1a,roxor97,"1,700","1,530","-1,196.00","-1,026.00",,"-1,026.00",-102.60,,
0x07c0bd6c90c0bea67c8ee2cb096f4bb17b7a5f90,lucian8000,"1,500","1,350","-1,163.40","-1,013.40",,"-1,013.40",-101.34,,
0xad11b7c28196ab04c90e2b30ba7203b0bc482d6e,balrogdxb,"2,100","1,890","-1,192.80",-982.80,,-982.80,-98.28,,
0x7097dddbc8336cfb8ef2ffd388efcb6a0ab9cdc6,sainathg,"1,500","1,350","-1,122.00",-972.00,,-972.00,-97.20,,
0x48f54069e86cd88a981d2f04b9858846a838bac9,Tom B,"1,700","1,530","-1,111.40",-941.40,,-941.40,-94.14,,
0x9014c0aa041d637ed64d022bf237112a6b550532,Iraess1,"2,000","1,800","-1,136.00",-936.00,,-936.00,-93.60,,
Kaybee,Kaybee,"3,640","3,355","-1,214.46",-929.66,,-929.66,-92.97,,
0x98f0c7e6c3ddde15eae193d5e782b9066139a1ef,Zahid,"6,000","5,675","-1,245.42",-920.42,,-920.42,-92.04,,
0x76f332ad39c6c94f729bcde2d69b8d9a86775ab3,asiburr18,"2,900","2,610","-1,204.40",-914.40,,-914.40,-91.44,,
0xd0446fc51298a280bdc6ab362b7d4f80cbfcc42a,Ezlifeman,"1,000",900,-874.00,-774.00,,-774.00,-77.40,,
0x29e433a7da5ed6cdb2678bb0b4bda234ea2703fa,zelja22,"2,500","2,250","-1,017.70",-767.70,,-767.70,-76.77,,
0x5ece768b5f6c5248c52c6790f8e2258f79c09fb9,fahim012,"1,500","1,350",-897.00,-747.00,,-747.00,-74.70,,
0xc0d9f731737027e57076b2cd4e794ee942c31810,MdSalimKhanShuva,"2,000","1,800",-946.10,-746.10,767,20.90,0.00,,
0x91efa577830e5e23e398afa352ba8152bc71bf5f,dd101264,"3,700","3,330","-1,106.20",-736.20,,-736.20,-73.62,,
0x1eeec196f89fee8352a3869db727b6103a0db3d7,Devil_561,"1,500","1,350",-860.10,-710.10,,-710.10,-71.01,,
0x486d5c12202e042f2c8483fd8346a6bf09cd90d5,G_Mickey,"1,500","1,350",-852.00,-702.00,,-702.00,-70.20,,
0xca098b9d1b1d995ed0055dfb551142d94644d33d,waaromdan,"4,900","4,410","-1,190.20",-700.20,,-700.20,-70.02,,
0x41d43ea3416d23fca245407b5b474423ea2fdd69,lesscitizen,"6,200","5,580","-1,317.50",-697.50,,-697.50,-69.75,,
0x8b63b27bfcdf06e03b189c36d60e61168a92b7cc,elcintr,"2,700","2,430",-966.60,-696.60,,-696.60,-69.66,,
0x4cc6802796e549de6870a87ae9a01775766161f5,silvraz,"2,200","1,980",-911.20,-691.20,,-691.20,-69.12,,
0x506d0199ec8f7c0b698a9a92c1a40eea89344f9d,Alamin143,"6,400","5,760","-1,312.30",-672.30,,-672.30,-67.23,,
0x7286aa037a38a85c6e719369557ec41bada9cf16,D3n1m1,"2,900","2,610",-954.20,-664.20,,-664.20,-66.42,,
0x33d2d5df5dc6cbfd73f375858994ef33c7fa77d1,Crypto_san_69,"2,500","2,250",-912.40,-662.40,,-662.40,-66.24,,
0xf8e92d5337afcc002519a248eb326e59c6958692,rushi2121,"2,300","2,070",-889.70,-659.70,,-659.70,-65.97,,
0xf1abbf41d0def7a53fbd066b8ee9f002402a006d,sakhaowat0,"1,500","1,350",-798.00,-648.00,,-648.00,-64.80,,
0x04eb4564d3da94a883c220d5104b6bc61719f038,kuldeepbohra,"4,400","3,960","-1,082.42",-642.42,,-642.42,-64.24,,
0x32262d01a147124525deaa6bcd86d0c8f3b030c0,chrislynx25,"1,700","1,530",-803.60,-633.60,,-633.60,-63.36,,
0x1edad11a8d1a0417e90ab30c32b24605b2f2720a,aquafina68,"1,200","1,080",-746.40,-626.40,,-626.40,-62.64,,
0xd866178e5ee4313eb0460bfd47bd479dadfdaea7,Sanjit0011,800,720,-699.20,-619.20,,-619.20,-61.92,,
0xd2bebf12f10ef670081ce06ee8c73e0a14c06665,anish9389,"2,300","2,070",-839.30,-609.30,,-609.30,-60.93,,
0x28515f429262738764a02ec00cdb940820eaef79,richardak,"1,200","1,080",-723.00,-603.00,,-603.00,-60.30,,
0x8930feb786941763aa772f6fec057c7a704f9afa,mariodecentralized,"1,800","1,620",-777.60,-597.60,,-597.60,-59.76,,
0xa8cd46a4520266c79199e634f55dcc9f0ac4bbd5,trustdipto,"1,500","1,350",-735.00,-585.00,,-585.00,-58.50,,
0x6e0e4feea03e277b1431205572eb107b1275bd9f,Cryptoheistfounder,"22,508","20,928","-2,163.66",-583.66,,-583.66,-58.37,,
0x86b07875cb6eddea30730957df6638abb86f4889,magnator,"5,600","5,040","-1,139.60",-579.60,,-579.60,-57.96,,
0x9c573f78a91c712d0dc8260cff26baf19c2db01f,jonshon123,"2,200","1,980",-788.80,-568.80,,-568.80,-56.88,,
0x567eee4347f9d62c7ac50c365a76df73a211891b,Jsteve197,"2,100","1,890",-762.60,-552.60,,-552.60,-55.26,,
0xdfa8af3c0aa7560af45d536b4038ff8689d7aa99,sebastianqq,"1,500","1,350",-691.80,-541.80,,-541.80,-54.18,,
0xf363b614cd6536f2191ac6bf3bbdfc4030ed94da,Craigw73,"2,000","1,800",-727.40,-527.40,,-527.40,-52.74,,
0x1aa6f6ee511ddbeadc2f64e02a332a7eada80aec,yanhyong,"10,400","9,360","-1,562.90",-522.90,,-522.90,-52.29,,
0x181c763d35b9b0f0fc014fd6fdbae7af8352a806,Monkey_d_Xebeck,"2,000","1,800",-704.00,-504.00,,-504.00,-50.40,,
0x2112bf290ea1745a2eeabe9697d4f520e9cd38e0,Riday8923,900,810,-594.00,-504.00,,-504.00,-50.40,,
0x791d704b2dff2c3ac93f53a975bb3243654b300b,MoAmir6969,"2,000","1,800",-704.00,-504.00,,-504.00,-50.40,,
0x8c70b3c064e7a5fcd74a2a4abd56e37ed45944a9,bennyb84,"4,000","3,600",-895.00,-495.00,,-495.00,-49.50,,
0x7f195731e794333295cc8a79359f12df3ba3756a,clijay,"1,000",900,-580.60,-480.60,,-480.60,-48.06,,
0x38cf4d85c212475ce2c17bfa804b49dd0fd89909,prateeksmalhan,"1,000",900,-568.00,-468.00,,-468.00,-46.80,,
0xa57e7c40545ed9d8a19a2b9b974bedc30256df16,docnonu,"3,350","3,015",-800.30,-465.30,,-465.30,-46.53,,
0xa4a5d32f537264d8759e8e007fd410c4dc55a00d,xelthus,700,630,-523.60,-453.60,,-453.60,-45.36,,
0x04abd0f134b05887910a28ddf833b5214f6d5e93,lokiz12,500,450,-500.00,-450.00,,-450.00,-45.00,,
0x51394c8134ad29a6f76795c195246f0fa337c6a8,Cryptosingh70,500,450,-500.00,-450.00,,-450.00,-45.00,,
0xae47dc7f07dbcdbd487eb34c63c12e181f750581,Jatin1498,500,450,-500.00,-450.00,,-450.00,-45.00,,
0xbaba55af21e34f5209a83086c5c0156532a8d168,tieptran,"5,000","4,500",-950.00,-450.00,,-450.00,-45.00,,
0xf8b7a4c47efb5c7da9388cef8396af0191eba37a,pubghackerarc,800,720,-497.60,-417.60,,-417.60,-41.76,,
0x16ec5ee1cc431ca95de00b6c88d21d0b4d3fc2a6,jatinhota,"7,100","6,390","-1,073.60",-363.60,,-363.60,-36.36,,
0xdf469e4d3c2b3e87c0b1c3ee6a9b1106343b338e,zayn0308,"2,500","2,250",-610.00,-360.00,,-360.00,-36.00,,
0x8a3e9e5339c4eabd5ea0205eecd47a35a33a4775,6817055820,500,450,-374.00,-324.00,,-324.00,-32.40,,
0x04947b4b0ec31944775e5aa67469218af7822f1e,frengkicalvinus,500,450,-347.00,-297.00,,-297.00,-29.70,,
0xa81dec13c216ebf48e38dee23cabe36e6aa049b9,himanshu_admin,500,450,-347.00,-297.00,,-297.00,-29.70,,
0x86124bf33e036ae7e896f9c79c13911ed142f5a3,yapollock,700,630,-363.40,-293.40,,-293.40,-29.34,,
0x9fc909f0c91729d8c5440607e23483122d608257,Thuat,"4,000","3,600",-670.00,-270.00,,-270.00,-27.00,,
0x21912c57d89591da9c9d67f5aa36844117309fee,PrimeXBTC,500,450,-311.00,-261.00,,-261.00,-26.10,,
0x5873d37c2edaaafc4e1c77a9785eb827560c320a,Mr_Paperhand,500,450,-311.00,-261.00,,-261.00,-26.10,,
0x92d3d444955a0ff8f828c961242ff6d345a8403b,MDBiplobHosen,500,450,-311.00,-261.00,,-261.00,-26.10,,
0xe5ce82336ad56d67f0f1c1a14730c6baa3db33da,AndrejAbro,500,450,-311.00,-261.00,,-261.00,-26.10,,
0xc92bc4995ec172cae2596e1732cf398bfd6cea35,MujahidAirdrop2,"3,500","3,150",-584.90,-234.90,100,-134.90,-23.49,,
0x56e51e07984eee9fc7430c780f428d29b7c0c4d7,Omercanog,700,630,-264.40,-194.40,,-194.40,-19.44,,
0xcb8b4fa0d347f838a7fe03808b6e9a2716618ed5,lootdealpaytm,200,180,-200.00,-180.00,,-180.00,-18.00,,
0x47a1c47166cfad4dc73416a3d086fd7cd0b7f561,Bahay2,"2,600","2,340",-429.92,-169.92,,-169.92,-16.99,,
0x76cb6aa93ef4f5843883a8137e73d739e0eb2746,hr916154036,800,720,-242.00,-162.00,,-162.00,-16.20,,
0x218a9e414b1b527b8ac78da44813026f4a70480b,harsh134567,300,270,-170.40,-140.40,,-140.40,-14.04,,
0x7b75bc70b928472856047fdef0d08d5b5816aefd,Jacob_Meyer,500,450,-189.50,-139.50,,-139.50,-13.95,,
0x2d4147d96691430ee710660ac6512f101ea4c851,Thr33Dotz,"2,100","1,890",-342.30,-132.30,,-132.30,-13.23,,
0x7992701b42d33f00773a56599aed2b65f9c000b3,imanhartani,200,180,-149.60,-129.60,,-129.60,-12.96,,
0x7bcc551cdb5ec33144f945ed6541dd9c0a6a5d56,joeyjojoshabudu,200,180,-149.60,-129.60,,-129.60,-12.96,,
0xf74b393e40c5d70698da8db08afcd8cf3bf8eb17,mrmijanm7,200,180,-144.20,-124.20,,-124.20,-12.42,,
0xb1030120e5a786dc11f8eb72530a89e5f6de47d8,michamgd,400,360,-151.60,-111.60,,-111.60,-11.16,,
0x6ba604ce34ac47fd8227bc982959a23716b1fcac,cascade_121,500,450,-158.00,-108.00,,-108.00,-10.80,,
0x98853c847208bc76532496d49a5d337aaf07ae2d,numbnoodle,"7,300","6,570",-825.40,-95.40,,-95.40,-9.54,,
0x6df825db707799919e140fbc3654605cb8de5f48,ShutdownMinusR,200,180,-113.60,-93.60,,-93.60,-9.36,,
0xf938365513b9ee2bce97f349fbf6ae7061ede621,7491619832,200,180,-102.80,-82.80,,-82.80,-8.28,,
Siddique chacha,Siddique chacha,500,450,-131.00,-81.00,81,0.00,0.00,,
0x43dd7b9f2f41807806f73b86a2f5ccd509ec7822,Emira2022,500,450,-122.00,-72.00,,-72.00,-7.20,,
0xa12acebcadcf56ce9aaf376bcb7ece7ca3ade02e,stozabozo,500,450,-122.00,-72.00,,-72.00,-7.20,,
Sura Bhabhi,Sura Bhabhi,"1,500","1,350",-208.86,-58.86,,-58.86,-5.89,,
0xca50c71f0d9d00e7d075b3c72ee7a272e32baaf7,borderctp,"1,200","1,080",-166.80,-46.80,,-46.80,-4.68,,
0x157ca9dcc26be365d9b4639520008f1933349871,srimanoo,800,720,-113.30,-33.30,,-33.30,-3.33,,
0x73598518c64c8ce8ea78e17172df0aba94a7bb91,Jamysworld,"5,800","5,220",-601.60,-21.60,,-21.60,-2.16,,
Shabana zaina,Shabana zaina,500,450,-69.62,-19.62,20,0.00,0.00,,
Nasir Zaina,Nasir Zaina,202,182,-28.16,-7.94,8,0.00,0.00,,
0x2fcbcd755638552269ac034ef7f7c075e77b0a2e,abdullaarrafi,"3,300","2,970",-330.90,-0.90,,-0.90,-0.09,,
0x51965d82c867a9898c4773e8b5467b6d1220710a,Asahraou23,"5,900","5,310",-590.00,0.00,,0.00,0.00,,
0x03578bdef2585b1710f604e8b1df241c7cb21087,Aash2027,"20,000","18,000","-2,000.00",0.00,,0.00,0.00,,
0x0ab9c6dda978a08a1c2642449a26e4910865d7d5,Ghamdiadam,"1,000",900,-100.00,0.00,,0.00,0.00,,
0x10e3548d1eecfd9d362907a776aade51cad297e9,Tolga03Celik03,"1,000",900,-100.00,0.00,,0.00,0.00,,
0x11cbcd2f39195e133701bb95c069dadd01efbc03,brzi_1,500,450,-50.00,0.00,,0.00,0.00,,
0x23ad9b737d46e61db7d89e42c23e8043896159b0,Simon347,500,450,-50.00,0.00,,0.00,0.00,,
0x26c397bb1abcfcc3155cfebf1687a6e784cba811,Smikey7,"3,000","2,700",-300.00,0.00,,0.00,0.00,,
0x392cbc1ae927be340aa6bc6a0edcec085e88d232,gagandeepkalra,"3,200","2,880",-320.00,0.00,,0.00,0.00,,
0x3b1aeea1c8e8f627d0411ebd2f3b655ed0fdb7e4,Dreamcopenhagen,500,450,-50.00,0.00,,0.00,0.00,,
0x4973f639949193f295bdfb164f287e46268302d1,therecaonlybe1,"1,500","1,425",-75.00,0.00,,0.00,0.00,,
0x57d12d73e2a581ac37886abb513d7620ad07d9bb,Arish5533,"8,100","7,290",-810.00,0.00,,0.00,0.00,,
0x5a500a9ebdbb07f88a233b7c1dadb1c1e82dd72b,ayooluwam,500,450,-50.00,0.00,,0.00,0.00,,
0x6918b541f5d37e8d3cecd19acc041399f1362a80,Alphadudes,500,450,-50.00,0.00,,0.00,0.00,,
0x6AA5Bbf2164e9E0c36535F7F910F59B7fcC62aCB,mo_raje,500,450,-50.00,0.00,,0.00,0.00,,
0x7537695ab06cd58cf8915017d1c30331d4093330,SonofSultan,"1,300","1,170",-130.00,0.00,,0.00,0.00,,
0x886f136d699ebf04e06038183c445578e69acc6f,bhavyagrawal123,500,450,-50.00,0.00,,0.00,0.00,,
0x8f58e1e01b8c277d9610498979e5e0051bb31051,cbboy01,"1,200","1,080",-120.00,0.00,,0.00,0.00,,
0x90cf53198e7554fa98c6e7af39868b1a5324df6f,shreeshenoy,"1,000",900,-100.00,0.00,,0.00,0.00,,
0x91ca4eef8d793df14aa136a36cfb3912279c60bc,bobbobby,"5,500","4,950",-550.00,0.00,,0.00,0.00,,
0x9d6d254287922f9a96b23b2b9f74c735c9f655cf,Limit_MM,"3,500","3,150",-350.00,0.00,,0.00,0.00,,
0xaf0f5755aeed8d9cf993159f8b8ce1b3fd8a5cad,DimitarKurdelov,600,540,-60.00,0.00,,0.00,0.00,,
0xbfdfd57da9cae840fc46f7f5d5bb401935097cdc,himel234,500,450,-50.00,0.00,,0.00,0.00,,
0xc8065f8bc82fff695d47530b9a9ade32d2255f83,__uyp__,600,540,-60.00,0.00,,0.00,0.00,,
0xcbf41ea45f90ed01a5b57dd54a5d0238f5391deb,chava2007,500,450,-50.00,0.00,,0.00,0.00,,
0xce91f738cfec45eb79f8e552ac70f6fc3c9b4217,christianmenke,"1,200","1,080",-120.00,0.00,,0.00,0.00,,
0xd793f919d749b3e5ea425a644f4c14a2ee7c8cff,zaghadon,"1,100",990,-110.00,0.00,,0.00,0.00,,
0xf16108a0347c6669f703afef24f56a38e30da384,tyghhhhh,"16,000","14,400","-1,600.00",0.00,,0.00,0.00,,
0xf4c6e60347c1cda188c3f364abf4ed66c5132d2d,btcchartsmart,500,450,-50.00,0.00,,0.00,0.00,,
0xfce6312555dc009ddadff31b67a83fc888adb38a,Sebastien160,"10,000","9,000","-1,000.00",0.00,,0.00,0.00,,
0xFEeDfe9c2aCb949Ef80b0fa714E282D66Bd2f955,adion1,500,450,-50.00,0.00,,0.00,0.00,,
Blockchain_sail,Blockchain_sail,"1,000",900,-100.00,0.00,,0.00,0.00,,
FlyingEagle888,FlyingEagle888,"2,000","1,800",-200.00,0.00,,0.00,0.00,,
Shameem,Shameem,"1,500","1,350",-150.00,0.00,,0.00,0.00,,
TeamGB,TeamGB,"5,000","4,500",-500.00,0.00,,0.00,0.00,,
0x1a7352cac180d756b67519beffade4290c0c3514,Sm_572,"5,000","4,500",-491.00,9.00,,,,,
0x98317a5d9ca0d41e20c838c3ea25aa672a3d9c38,a202020202020202020,500,450,-41.00,9.00,,,,,
0xce77411b863525da42ca313db1cbf8a31dc9ddcd,muhammed20162018,"1,900","1,710",-181.00,9.00,,,,,
0x2c0e5393548315c86a5733081b491ab46eb40cc4,khayrul660,200,180,-9.20,10.80,,,,,
0x9d2c87f55ace54b382912c3754fbf879e237dbee,nkiggs,200,180,-9.20,10.80,,,,,
0xcbac7b6f7af8026e22a5dc085dd90e4ab5127e31,Guy00100,"2,100","1,890",-195.60,14.40,,,,,
0xaa8022378e05edef7b693a26bcd31ee52b1161d6,sohan_xyz,400,360,-18.40,21.60,,,,,
0x98939f3b05bd16ca4993cddb05966d8f592cbace,Jamesbond0007sol,"3,300","2,970",-297.60,32.40,,,,,
0xbfcff3aa2579219ea47bbdc783d3e5afb2174895,rajdest17,500,450,-14.00,36.00,,,,,
0xd70944fa6c5bba9a9ffa0c639a0e1606964cffb7,AR9474273301,500,450,-14.00,36.00,,,,,
0x0cabef0aaeed312bd450cbbb042046229cbd06db,htomaz,"1,500","1,350",-109.50,40.50,,,,,
0xb59cf5d30e6bc99fad040d606794a61caf41d4c8,cryptohunter2002,"2,600","2,340",-215.90,44.10,,,,,
0xab48bafe349ff133f2848d114771c66efda71ed8,MLoongChew,"11,100","9,990","-1,061.36",48.64,,,,,
0x4cbbd8ee69b07844f77ed895bfa8f3cc393d3270,Kamrul00,"1,000",900,-46.00,54.00,,,,,
0xef0468d11919435d9fe5c5177d90df22a783e08a,ankiitnallwa,"1,000",900,-46.00,54.00,,,,,
0x6964615093fa77ea26a4959eea82cbea57fac7c7,Snrydn,500,450,8.50,58.50,,,,,
0xb4721e01eb007904f3846db9c80aaf586861d5b0,ibrahim2025,500,450,8.50,58.50,,,,,
